Greater Midland Community Center,Studio 1 (2020),,10/03/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/04/2025,7:10 AM,7:55 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/04/2025,9:30 AM,10:20 AM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/06/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/06/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/06/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/06/2025,12:15 PM,1:00 PM,Silver Sneakers Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/06/2025,1:15 PM,1:30 PM,Silver Sneakers Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/06/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/06/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,1:00 AM,1:50 AM,Chair Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,12:30 PM,12:45 PM,Chair Yoga Set Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,2:15 PM,2:30 PM,Chair Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,5:30 PM,6:15 PM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/07/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,5:30 AM,6:30 AM,Rise and Shine Bootcamp - Specialty Fitness,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,12:30 PM,12:45 PM,Staff Lunch Crunch,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/08/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/09/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/09/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/09/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/09/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/09/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/10/2025,5:15 AM,6:10 AM,Cycle,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/10/2025,8:30 AM,9:15 AM,Butts and Guts,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/10/2025,9:30 AM,10:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/10/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/11/2025,7:10 AM,7:55 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/11/2025,9:30 AM,10:20 AM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/11/2025,6:00 PM,9:30 PM,Contra Dance,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/13/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/13/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/13/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/13/2025,1:15 PM,1:30 PM,Silver Sneakers Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/13/2025,2:15 PM,2:30 PM,Silver Sneakers Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/13/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/13/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,1:00 AM,1:50 AM,Chair Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,12:30 PM,12:45 PM,Chair Yoga Set Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,2:15 PM,2:30 PM,Chair Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,5:30 PM,6:15 PM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/14/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,5:30 AM,6:30 AM,Rise and Shine Bootcamp - Specialty Fitness,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,12:30 PM,12:45 PM,Staff Lunch Crunch,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/15/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/16/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/16/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/16/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/16/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/16/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/17/2025,5:15 AM,6:10 AM,Cycle,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/17/2025,8:30 AM,9:15 AM,Butts and Guts,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/17/2025,9:30 AM,10:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/17/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/18/2025,7:10 AM,7:55 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/18/2025,9:30 AM,10:20 AM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/20/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/20/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/20/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/20/2025,1:15 PM,1:30 PM,Silver Sneakers Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/20/2025,2:15 PM,2:30 PM,Silver Sneakers Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/20/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/20/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,1:00 AM,1:50 AM,Chair Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,12:30 PM,12:45 PM,Chair Yoga Set Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,2:15 PM,2:30 PM,Chair Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,5:30 PM,6:15 PM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/21/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,5:30 AM,6:30 AM,Rise and Shine Bootcamp - Specialty Fitness,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,12:30 PM,12:45 PM,Staff Lunch Crunch,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/22/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/23/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/23/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/23/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/23/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/23/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/24/2025,5:15 AM,6:10 AM,Cycle,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/24/2025,8:30 AM,9:15 AM,Butts and Guts,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/24/2025,9:30 AM,10:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/24/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/25/2025,7:10 AM,7:55 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/25/2025,9:30 AM,10:20 AM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/27/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/27/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/27/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/27/2025,12:15 PM,1:00 PM,Silver Sneakers Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/27/2025,1:15 PM,1:30 PM,Silver Sneakers Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/27/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/27/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,1:00 AM,1:50 AM,Chair Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,12:30 PM,12:45 PM,Chair Yoga Set Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,2:15 PM,2:30 PM,Chair Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,5:30 PM,6:15 PM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/28/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/29/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/29/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/29/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/29/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/29/2025,12:30 PM,12:45 PM,Staff Lunch Crunch,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/29/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/29/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/30/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/30/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/30/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/30/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,10/30/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/31/2025,5:15 AM,6:10 AM,Cycle,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/31/2025,8:30 AM,9:15 AM,Butts and Guts,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/31/2025,9:30 AM,10:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,10/31/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/01/2025,7:10 AM,7:55 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/01/2025,8:30 AM,9:20 AM,Intro to Kettlebells - Specialty Fitness,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/01/2025,9:30 AM,10:20 AM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/03/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/03/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/03/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/03/2025,12:15 PM,1:00 PM,Silver Sneakers Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/03/2025,1:15 PM,1:30 PM,Silver Sneakers Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,11/03/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/03/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,1:00 AM,1:50 AM,Chair Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,12:30 PM,12:45 PM,Chair Yoga Set Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,2:15 PM,2:30 PM,Chair Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,5:30 PM,6:15 PM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/04/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,5:30 AM,6:30 AM,Rise and Shine Bootcamp - Specialty Fitness,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,12:30 PM,12:45 PM,Staff Lunch Crunch,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/05/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/06/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/06/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/06/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/06/2025,11:00 AM,12:30 PM,Line Dancing,Greater Midland Community Center,50+ 50+
Greater Midland Community Center,Studio 1 (2020),,11/06/2025,6:30 PM,7:20 PM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/07/2025,5:15 AM,6:10 AM,Cycle,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/07/2025,8:30 AM,9:15 AM,Butts and Guts,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/07/2025,9:30 AM,10:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/07/2025,12:00 PM,12:30 PM,Staff Wellness Classes,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/08/2025,7:10 AM,7:55 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/08/2025,8:30 AM,9:20 AM,Intro to Kettlebells - Specialty Fitness,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/08/2025,9:30 AM,10:20 AM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/08/2025,6:00 PM,9:30 PM,Contra Dance,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/10/2025,8:30 AM,9:15 AM,TRX,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/10/2025,9:30 AM,10:20 AM,Strictly Strength,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/10/2025,10:30 AM,11:15 AM,Bootcamp,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/10/2025,12:15 PM,1:00 PM,Silver Sneakers Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/10/2025,1:15 PM,1:30 PM,Silver Sneakers Yoga Clean Up,Greater Midland Community Center,INTERNAL RESERVATIONS
Greater Midland Community Center,Studio 1 (2020),,11/10/2025,5:30 PM,6:20 PM,Zumba,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/10/2025,6:30 PM,7:20 PM,Yoga,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/11/2025,5:15 AM,6:10 AM,Body Sculpt,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/11/2025,8:30 AM,9:20 AM,Body Blast,Greater Midland Community Center,Greater Midland Community Center
Greater Midland Community Center,Studio 1 (2020),,11/11/2025,9:30 AM,10:20 AM,Yoga,Greater Midland Community Center,Greater Midland Community Center
